method,num_seeds,final_acc,final_acc_std,best_acc,best_acc_std,final_loss,final_loss_std,best_loss,best_loss_std,missing_seeds
AsyncSAM+RMS,10,76.738,0.4127662776923525,76.94800000000001,0.3304481805064148,0.994168955078125,0.014541370092845965,0.9817169183349609,0.010234223521169181,
FedAsync,10,74.71900000000001,0.43996477131697814,74.86699999999999,0.4755428477014439,1.0769445343017578,0.019351391508137666,1.0583128955078125,0.013495016720152679,
AsyncSGD,10,71.113,0.6123569220642473,71.32199999999999,0.5440735244431573,1.1441331420898437,0.019995711288375215,1.1343273217773437,0.018549186283862706,
FedBuff,10,70.86800000000001,1.1381897908521263,72.34400000000001,0.41017557216392186,1.1487414221191408,0.0427384005753582,1.0813328009033203,0.011664051659700829,
