method,num_seeds,final_acc,final_acc_std,best_acc,best_acc_std,final_loss,final_loss_std,best_loss,best_loss_std,missing_seeds
AsyncSAM+RMS (Tuned),10,76.15599999999999,0.47883608886548884,76.336,0.4353435425040784,1.0433167504882814,0.018510693429126916,1.0325514721679687,0.013275008279611762,
AsyncSGD,10,74.03999999999999,0.3468717342188609,74.204,0.3369035470279294,1.1746692584228517,0.018834753491032058,1.166122200317383,0.015632701882122565,
FedAsync,10,74.08900000000001,0.32968014802229145,74.22299999999998,0.30877337968160284,1.1721924884033204,0.01012270328668314,1.166102817993164,0.010408148776507585,
FedBuff,10,68.61999999999999,0.9383602719638128,69.9,0.3066920279368199,1.3137627258300781,0.04425824323389196,1.2387453735351561,0.011315922490989344,
