family,setting,method,num_seeds,final_acc,final_acc_std,best_acc,best_acc_std,final_loss,final_loss_std,best_loss,best_loss_std,missing_seeds
MNIST,Base IID,FADAS,10,97.12,0.5963220606350225,97.26,0.5902541825349481,0.09445116195678711,0.013982594959097388,0.09366219635009766,0.014052857744110471,
MNIST,Base IID,CA2FL,10,85.99,1.721307642462557,87.93,0.5197114584074498,0.48027764282226565,0.028249947965314118,0.46051966857910154,0.017607739505649356,
MNIST,Base IID,AsyncSGD constant,10,94.72999999999999,1.063061616276307,95.00999999999999,0.9300000000000009,0.17390384216308594,0.030082677197253938,0.17110253143310547,0.0279665524258986,
MNIST,Label-Sorted,FADAS,10,95.92,0.5996665740225993,96.15,0.6280923498976895,0.13286383590698242,0.019732778082470388,0.1317618469238281,0.020034556540662628,
MNIST,Label-Sorted,CA2FL,10,84.2,5.594461546922994,87.85,0.9583840566286608,0.528201953125,0.1314692091594855,0.4584492645263672,0.0359994088262008,
MNIST,Label-Sorted,AsyncSGD constant,10,92.34,1.338058294694216,93.49000000000001,0.852584306681744,0.2435602996826172,0.02640698232081248,0.22163045349121094,0.026161888432980562,
MNIST,Dirichlet,FADAS,10,96.3,0.5727128425310528,96.47,0.5235456045083369,0.12189728469848633,0.017471844073570594,0.12102400665283203,0.016762402758961643,
MNIST,Dirichlet,CA2FL,10,86.77,1.8563674205285992,88.0,1.1721774609674065,0.44541768798828124,0.0496700170233543,0.4279220642089844,0.034272477018653914,
MNIST,Dirichlet,AsyncSGD constant,10,93.16,1.3639648089301994,94.24,1.1001818031580022,0.21962356872558594,0.04782703813896527,0.1984268844604492,0.0355002227912179,
MNIST,High Delay,FADAS,10,97.03,0.5900000000000012,97.17999999999999,0.5827520913733392,0.09656880874633789,0.014773345436501493,0.09557216567993164,0.014719054515273063,
MNIST,High Delay,CA2FL,10,87.51,2.175982536694635,88.72,1.0107423014794632,0.44237693786621096,0.041619581966621966,0.4247476989746094,0.03216751984829413,
MNIST,High Delay,AsyncSGD constant,10,93.92999999999999,1.6056462873248247,94.59,0.7189575787207465,0.20422590332031249,0.04790925192181084,0.1897781768798828,0.018229805089512843,
MNIST,20 Workers,FADAS,10,95.33,0.6083584469702048,95.42999999999999,0.5814636704042663,0.1615993148803711,0.0168477466542574,0.16013983154296874,0.016120244583408567,
MNIST,20 Workers,CA2FL,10,77.68,4.082107298932748,86.41,1.275499901999213,0.7525418487548828,0.2234169358603153,0.5282671630859375,0.03872700672146479,
MNIST,20 Workers,AsyncSGD constant,10,93.28,2.3932404810214916,93.86,1.5583324420674762,0.2288759521484375,0.07394229070616044,0.2134790023803711,0.052897244578397645,
CIFAR-10 ResNet18,Base IID,FADAS,10,85.07900000000001,0.8780825701493014,86.0,0.7374550833779656,0.45861219268798825,0.029332589835294368,0.42779714324951174,0.020629272444840346,
CIFAR-10 ResNet18,Base IID,CA2FL,10,60.884,3.282411308778957,63.29,1.8409997284084534,1.11168140625,0.11290930956286716,1.0324661492919922,0.05099165750372377,
CIFAR-10 ResNet18,Base IID,AsyncSGD constant,10,89.988,0.2508704845134226,90.05199999999999,0.22990432792794424,0.44094944244384765,0.01438166269004726,0.37764201049804685,0.008310391894271019,
CIFAR-10 ResNet18,Label-Sorted,FADAS,10,85.15299999999999,1.0093369110460608,86.23400000000001,0.6629509785798623,0.45221085235595704,0.028837162832340463,0.4204520355224609,0.019284538911174976,
CIFAR-10 ResNet18,Label-Sorted,CA2FL,10,61.251999999999995,2.1330625869861377,62.863,2.4890924048737095,1.086879541015625,0.05591533730636908,1.047895047607422,0.06850426551394438,
CIFAR-10 ResNet18,Label-Sorted,AsyncSGD constant,10,89.237,0.19010786411929342,89.314,0.21818340908510905,0.44686327758789063,0.009330618255942771,0.3979284469604492,0.008459106580911998,
CIFAR-10 ResNet18,High Delay,FADAS,10,85.56,0.7306846104852657,86.127,0.4369679622123361,0.44966755126953123,0.024665628861985946,0.42544507202148435,0.013722436859584833,
CIFAR-10 ResNet18,High Delay,CA2FL,10,59.364000000000004,3.289052143095333,62.166000000000004,1.5376033298611183,1.1491497363281251,0.10067230733570624,1.0660565246582032,0.040045450948729897,
CIFAR-10 ResNet18,High Delay,AsyncSGD constant,10,89.80499999999999,0.1807346120697416,89.913,0.15303921066184556,0.4420579205322266,0.012432499550294334,0.3805730416870117,0.009785938732453623,
CIFAR-10 ResNet18,20 Workers Original,FADAS,10,46.981,1.5306563951455583,49.401,1.0448583636072413,1.4755822485351562,0.05192002188631292,1.388840799560547,0.027194659347641294,
CIFAR-10 ResNet18,20 Workers Original,CA2FL,10,48.459,3.6264926582029657,52.862,2.5761630383188105,1.4417021533203125,0.0932268746733981,1.306930390625,0.05769478240203582,
CIFAR-10 ResNet18,20 Workers Original,AsyncSGD constant,10,47.593,2.295007843123854,47.667,2.2823367411492987,1.447295155029297,0.05472466361677405,1.443491475830078,0.05529003270271037,
CIFAR-10 ResNet18,20 Workers T3/E200,FADAS,10,76.879,2.1492112506684866,79.205,1.8173125763060132,0.6801379736328125,0.05482397776860846,0.6159334265136719,0.04776680662995365,
CIFAR-10 ResNet18,20 Workers T3/E200,CA2FL,10,73.53,4.683789064422093,79.213,1.1096850904648587,0.8420461651611328,0.20726336903529918,0.6137942895507813,0.03242655950263765,
CIFAR-10 ResNet18,20 Workers T3/E200,AsyncSGD constant,10,85.074,0.7556877662103585,85.333,0.7258794665783046,0.48344177947998046,0.021047667974876966,0.4756085614013672,0.020563485689726824,
CIFAR-10 ResNet32,Base IID,FADAS,10,83.67399999999999,0.7453884893127872,84.565,0.3700067566950613,0.49582510925292966,0.026050280183246028,0.4643357781982422,0.01195660151354491,
CIFAR-10 ResNet32,Base IID,CA2FL,10,56.58,3.971407810839877,59.508,2.1495850762414594,1.2458813452148436,0.1476243848180441,1.1349793811035156,0.0582524332110923,
CIFAR-10 ResNet32,Base IID,AsyncSGD constant,10,87.134,0.41470953690504797,87.281,0.45025437254956224,0.42055303161621094,0.013246093417276871,0.41232175384521486,0.012042193776599626,
CIFAR-10 ResNet32,Label-Sorted,FADAS,10,83.229,1.1237388486654722,84.578,0.3855074577748136,0.5113258215332032,0.042638037100821154,0.4623254364013672,0.011275186051234804,
CIFAR-10 ResNet32,Label-Sorted,CA2FL,10,58.056,3.754802791093028,60.519,1.613774767431935,1.1941083520507814,0.14048991237744918,1.1125258746337892,0.04779682223486734,
CIFAR-10 ResNet32,Label-Sorted,AsyncSGD constant,10,86.802,0.2774815309169241,86.98400000000001,0.27059933481071513,0.4327401403808594,0.0053646148794722955,0.420761858215332,0.006178277104345324,
CIFAR-10 ResNet32,Dirichlet,FADAS,10,82.972,1.0763902637984037,84.25699999999999,0.5620685011633371,0.5180192300415039,0.03067078206866755,0.47255696685791015,0.017486676402112787,
CIFAR-10 ResNet32,Dirichlet,CA2FL,10,54.737,3.4477733394177745,59.136,1.1485138222938376,1.311945450439453,0.1266816362008392,1.1473737927246095,0.035869382600182576,
CIFAR-10 ResNet32,Dirichlet,AsyncSGD constant,10,86.506,0.44844620636147586,86.654,0.41243666180397026,0.43937656188964846,0.009763698765194161,0.43113397277832033,0.009399355500499938,
CIFAR-10 ResNet32,High Delay,FADAS,10,83.084,1.1987259903747798,84.431,0.3531982446162511,0.512720432434082,0.036686977265144076,0.4660520611572266,0.01103118998432137,
CIFAR-10 ResNet32,High Delay,CA2FL,10,58.338,2.458592280147321,59.741,1.5144665727575513,1.1859739697265625,0.07944094092666973,1.128455283203125,0.03966826272307399,
CIFAR-10 ResNet32,High Delay,AsyncSGD constant,10,87.097,0.2571011474108977,87.254,0.27302747114530274,0.43015211700439454,0.011762852609626138,0.4175638540649414,0.008219391648881922,
CIFAR-10 ResNet56,Base IID,FADAS,10,82.57,1.2525494002234012,84.152,0.6149601613112822,0.5256461730957032,0.03797706773342286,0.4749459033203125,0.014346626485031887,
CIFAR-10 ResNet56,Base IID,CA2FL,10,56.183,2.111814622546211,59.126,1.8452110990344712,1.2477467724609375,0.06752782883786346,1.1459968572998047,0.05226570734806546,
CIFAR-10 ResNet56,Base IID,AsyncSGD constant,10,87.715,0.277353564967171,87.945,0.2520019841191733,0.4221222634887695,0.011358308643294752,0.4006779577636719,0.005950799413341429,
CIFAR-10 ResNet56,Label-Sorted,FADAS,10,82.72,1.2002166471100102,84.185,0.6426235289810066,0.5196739471435547,0.038031729911383344,0.47056866943359377,0.017440929400462536,
CIFAR-10 ResNet56,Label-Sorted,CA2FL,10,58.412,2.7211497569961116,59.123,2.1502327780963633,1.1775139025878907,0.073353688803715,1.1499110229492189,0.05686442773161858,
CIFAR-10 ResNet56,Label-Sorted,AsyncSGD constant,10,87.571,0.36871262522457465,87.75,0.40157191136831266,0.42536119659423827,0.009883671265693958,0.40987091033935547,0.011565557977496215,
CIFAR-10 ResNet56,Dirichlet,FADAS,10,82.09,0.9755511262870873,83.486,1.0494589081998367,0.5477701416015626,0.03157713693706232,0.49758722290039065,0.03107414613750316,
CIFAR-10 ResNet56,Dirichlet,CA2FL,10,57.052,2.9591072978180444,58.725,2.233455842411039,1.2063593518066407,0.0824861155044128,1.1589547338867188,0.05653859133669793,
CIFAR-10 ResNet56,Dirichlet,AsyncSGD constant,10,87.364,0.4799208268037583,87.485,0.4839059826040622,0.4270784762573242,0.009352914410578958,0.4142553802490234,0.010749072016438587,
CIFAR-10 ResNet56,High Delay,FADAS,10,82.793,1.0903490266882423,84.031,0.484921643154849,0.5188249905395508,0.03610836970492894,0.4769498736572266,0.01367270457063569,
CIFAR-10 ResNet56,High Delay,CA2FL,10,56.475,2.8924185381787333,58.734,2.1248256399055414,1.2382799291992188,0.08236592128662992,1.1601939697265624,0.05865440409462714,
CIFAR-10 ResNet56,High Delay,AsyncSGD constant,10,87.859,0.3143389889911846,87.967,0.2715529414313134,0.42331556640625,0.010604967852497782,0.4021932922363281,0.00751750922735905,
CIFAR-100 ResNet32,Base IID,FADAS,10,52.313,0.7631258087628809,53.481,0.6923647882438863,1.7789143823242188,0.02671222193930464,1.726071513671875,0.03033810739077417,
