setting,method,num_seeds,final_acc,final_acc_std,best_acc,best_acc_std,final_loss,final_loss_std,best_loss,best_loss_std,missing_seeds
Base IID,AsyncSAM+RMS,10,89.718,0.3483618808078738,89.82300000000001,0.3299712108654349,0.3450009985351562,0.011054260043450986,0.3346922338867187,0.010992223120050023,
Base IID,AsyncSGD,10,87.12800000000001,0.201236179649684,87.225,0.23741314201197652,0.4247558181762695,0.008246801134411048,0.41309195861816406,0.008900939385878765,
Base IID,FedAsync,10,86.89,0.3212164379355451,87.11999999999999,0.3396468754456599,0.4285253704833984,0.009430039668995171,0.41632620361328126,0.010386534681561164,
Base IID,FedBuff,10,84.817,0.9836366198957849,85.813,0.5557346489107889,0.4593649145507812,0.03348410248363364,0.42690016235351563,0.016515525745026644,
Base IID,FedAC,10,14.818000000000001,2.6532764650522194,16.633000000000003,1.6574561834329138,2.2729437719726566,0.049490130954581525,2.247909404296875,0.030390852334677636,
Label-Sorted Non-IID,AsyncSAM+RMS,10,89.832,0.2363810483097136,89.956,0.21583326898325805,0.34105221099853517,0.009192314582763714,0.33393085021972657,0.007337199990633552,
Label-Sorted Non-IID,AsyncSGD,10,86.793,0.35321523183464176,86.99999999999999,0.30083217912982774,0.4338791455078125,0.0069022372815180566,0.4247698226928711,0.006781247929856103,
Label-Sorted Non-IID,FedAsync,10,86.65799999999999,0.4423754061880019,86.82300000000001,0.39550094816574083,0.43728545410156255,0.011104913915246048,0.42535683593749996,0.006887882112843416,
Label-Sorted Non-IID,FedBuff,10,83.248,1.8307801615704693,85.733,0.46281853895452246,0.516296655883789,0.06206690860799469,0.4319448696899414,0.014058763225355984,
Label-Sorted Non-IID,FedAC,10,13.370000000000001,2.3911336223640873,16.615000000000002,2.069672679435085,2.3126395336914056,0.08529370878514414,2.2497869604492187,0.029585709575844794,
Dirichlet Non-IID,AsyncSAM+RMS,10,89.50099999999999,0.46676439452897345,89.744,0.3263495058982003,0.3484175540161133,0.013451226084166469,0.339829027709961,0.012958719251557286,
Dirichlet Non-IID,AsyncSGD,10,86.539,0.45304414795911674,86.694,0.4406404429917881,0.4381843249511719,0.014132398334506148,0.4309731176757812,0.012344362293407596,
Dirichlet Non-IID,FedAsync,10,86.513,0.4449730328907615,86.717,0.43125514489684585,0.4385927084350586,0.013529604057176438,0.42950562225341793,0.014043935874094523,
Dirichlet Non-IID,FedBuff,10,83.724,0.94656431371566,84.677,0.7017271549541172,0.4937159927368165,0.027874754161274405,0.4607425631713868,0.021250437006071505,
Dirichlet Non-IID,FedAC,10,13.573000000000002,1.9552956298217414,16.312,1.986362504680352,2.357649274902344,0.07277603220005986,2.2843616552734374,0.0691691070714541,
High Delay IID,AsyncSAM+RMS,10,89.823,0.26309884074240786,89.95,0.29996666481460993,0.3414385855102539,0.009654593750886028,0.33346488647460937,0.00756934294631101,
High Delay IID,AsyncSGD,10,87.10999999999999,0.16751119365582606,87.299,0.20151674868357733,0.4265323458862305,0.010790165629040895,0.4152519979858398,0.010735469285163005,
High Delay IID,FedAsync,10,87.016,0.32376534712658744,87.17299999999999,0.32701834810908864,0.4317122064208984,0.009546264755328122,0.4197120062255859,0.00786639407019901,
High Delay IID,FedBuff,10,84.10400000000001,1.3283839806321074,85.44900000000001,0.48923307328920396,0.48258604736328115,0.04482949659920558,0.4368129147338867,0.014881052499264852,
High Delay IID,FedAC,10,14.899999999999997,2.465136913033432,16.416,1.5207050996166216,2.3013865209960938,0.10356017336319691,2.246791059570312,0.026418166671338214,
