setting,method,num_seeds,final_acc,final_acc_std,best_acc,best_acc_std,final_loss,final_loss_std,best_loss,best_loss_std,missing_seeds
Base IID,AsyncSAM+RMS,10,76.738,0.4127662776923525,76.94800000000001,0.3304481805064148,0.994168955078125,0.014541370092845965,0.9817169183349609,0.010234223521169181,
Base IID,AsyncSGD,10,71.113,0.6123569220642473,71.32199999999999,0.5440735244431573,1.1441331420898437,0.019995711288375215,1.1343273217773437,0.018549186283862706,
Base IID,FedAsync,10,74.71900000000001,0.43996477131697814,74.86699999999999,0.4755428477014439,1.0769445343017578,0.019351391508137666,1.0583128955078125,0.013495016720152679,
Base IID,FedBuff,10,70.86800000000001,1.1381897908521263,72.34400000000001,0.41017557216392186,1.1487414221191408,0.0427384005753582,1.0813328009033203,0.011664051659700829,
Label-Sorted Non-IID,AsyncSAM+RMS,10,76.749,0.3288905593050673,76.98100000000001,0.2369578021505127,0.9887304675292968,0.011431197882674715,0.9772372955322266,0.012070633657850386,
Label-Sorted Non-IID,AsyncSGD,10,70.929,0.31901253893851683,71.202,0.35720582302084547,1.1525424182128907,0.013656472618283665,1.1483365478515624,0.013752990853633362,
Label-Sorted Non-IID,FedAsync,10,74.72999999999999,0.4251823138372557,74.922,0.33002424153386084,1.0667825598144531,0.01339187172515626,1.0606453588867186,0.01211857428141852,
Label-Sorted Non-IID,FedBuff,10,70.49600000000001,1.0206194197642908,72.104,0.4469049115863439,1.1615258203125,0.04405276924150396,1.088412269897461,0.01105826011517682,
Dirichlet Non-IID,AsyncSAM+RMS,10,76.849,0.37827106682906964,77.034,0.39616158319554645,0.9852469506835936,0.012378936774826852,0.9729461547851563,0.013070585834109968,
Dirichlet Non-IID,AsyncSGD,10,70.91,0.564074463169536,71.183,0.43799657532907643,1.1503690722656248,0.016437029737044435,1.1439246881103515,0.01445642329799872,
Dirichlet Non-IID,FedAsync,10,74.53900000000002,0.45007666013691366,74.80699999999999,0.4127723343442471,1.0714792675781248,0.018230191451983922,1.0620025103759765,0.014793629155157743,
Dirichlet Non-IID,FedBuff,10,71.20500000000001,0.5867750846789593,72.086,0.558770077939039,1.1325629919433593,0.019697985116566154,1.0837960766601564,0.022474507492638057,
High Delay IID,AsyncSAM+RMS,10,76.61000000000001,0.5188448708429164,76.771,0.3981067695983077,0.9977294342041014,0.021106527201789047,0.9856213830566405,0.017812395803163947,
High Delay IID,AsyncSGD,10,71.299,0.32042003682666326,71.506,0.34421504906090394,1.1486070678710938,0.011700939513037344,1.1382850701904297,0.010992530638816474,
High Delay IID,FedAsync,10,74.716,0.3463004475885065,74.941,0.3339895207936898,1.0714000903320315,0.01670195967097147,1.0544583880615235,0.014946618736122644,
High Delay IID,FedBuff,10,70.84899999999999,1.5418913710115907,72.12100000000001,0.5619332700597098,1.1480263787841798,0.06460736114585951,1.089248748779297,0.015726907404944267,
