method,num_seeds,final_acc,final_acc_std,best_acc,best_acc_std,final_loss,final_loss_std,best_loss,best_loss_std,paths
AsyncSAM+RMS,10,83.755,0.5563497101643883,83.94500000000001,0.5749999999999996,0.5083095141601562,0.013382469707726266,0.5036967120361328,0.012914961099502124,/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_asyncsam_rms_seed1.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_asyncsam_rms_seed2.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_asyncsam_rms_seed3.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_asyncsam_rms_seed4.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_asyncsam_rms_seed5.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_asyncsam_rms_seed6.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_asyncsam_rms_seed7.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_asyncsam_rms_seed8.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_asyncsam_rms_seed9.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_asyncsam_rms_seed10.pkl
AsyncSGD,10,75.547,0.828034419574456,75.765,0.7720395067611503,0.7072261999511719,0.02257708717041635,0.7035829016113281,0.02252887537108295,/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_asyncsgd_seed1.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_asyncsgd_seed2.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_asyncsgd_seed3.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_asyncsgd_seed4.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_asyncsgd_seed5.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_asyncsgd_seed6.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_asyncsgd_seed7.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_asyncsgd_seed8.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_asyncsgd_seed9.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_asyncsgd_seed10.pkl
FedAsync,10,75.567,0.7759903349913594,75.747,0.7907724072070306,0.7076883807373047,0.02174484451347992,0.7040011340332033,0.021741007190291903,/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedasync_seed1.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedasync_seed2.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedasync_seed3.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedasync_seed4.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedasync_seed5.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedasync_seed6.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedasync_seed7.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedasync_seed8.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedasync_seed9.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedasync_seed10.pkl
FedBuff,10,73.262,7.232853931886086,79.154,0.949222840011768,0.8224668743896485,0.28142956697591504,0.614096484375,0.028815589367304658,/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedbuff_seed1.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedbuff_seed2.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedbuff_seed3.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedbuff_seed4.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedbuff_seed5.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedbuff_seed6.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedbuff_seed7.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedbuff_seed8.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedbuff_seed9.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedbuff_seed10.pkl
FedAC,10,26.596999999999998,6.523443952392019,30.578000000000003,6.925396450745619,2.2247475659179687,0.33138251046879097,1.9035827404785155,0.2245738328540852,/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedac_tuned_seed1.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedac_tuned_seed2.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedac_tuned_seed3.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedac_tuned_seed4.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedac_tuned_seed5.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedac_tuned_seed6.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedac_tuned_seed7.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedac_tuned_seed8.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedac_tuned_seed9.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/cifar10_workers20_t3e200_fedac_tuned_seed10.pkl
