label,final_acc_mean,final_acc_std,best_acc_mean,best_acc_std,final_loss_mean,final_loss_std,best_loss_mean,best_loss_std,paths
AsyncSGD,89.2800,1.2734,89.6900,1.1049,0.3713,0.0335,0.3684,0.0325,/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/asyncsgd_iid_e60_npu_lr001_seed1.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/asyncsgd_iid_e60_npu_lr001_seed2.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/asyncsgd_iid_e60_npu_lr001_seed3.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/asyncsgd_iid_e60_npu_lr001_seed4.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/asyncsgd_iid_e60_npu_lr001_seed5.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/asyncsgd_iid_e60_npu_lr001_seed6.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/asyncsgd_iid_e60_npu_lr001_seed7.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/asyncsgd_iid_e60_npu_lr001_seed8.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/asyncsgd_iid_e60_npu_lr001_seed9.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/asyncsgd_iid_e60_npu_lr001_seed10.pkl
AsyncSAM RMS+AA,98.2000,0.4195,98.6200,0.3516,0.0675,0.0110,0.0504,0.0104,/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/asyncsam_precond_q3_rms90_i1_batch0_seed1.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/asyncsam_precond_q3_rms90_i1_batch0_seed2.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/asyncsam_precond_q3_rms90_i1_batch0_seed3.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/asyncsam_precond_q3_rms90_i1_batch0_seed4.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/asyncsam_precond_q3_rms90_i1_batch0_seed5.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/asyncsam_precond_q3_rms90_i1_batch0_seed6.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/asyncsam_precond_q3_rms90_i1_batch0_seed7.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/asyncsam_precond_q3_rms90_i1_batch0_seed8.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/asyncsam_precond_q3_rms90_i1_batch0_seed9.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/asyncsam_precond_q3_rms90_i1_batch0_seed10.pkl
FedAsync,89.2700,1.2713,89.6900,1.1104,0.3712,0.0335,0.3684,0.0325,/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedasync_seed1.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedasync_seed2.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedasync_seed3.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedasync_seed4.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedasync_seed5.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedasync_seed6.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedasync_seed7.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedasync_seed8.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedasync_seed9.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedasync_seed10.pkl
FedBuff,91.2500,1.5403,92.1700,0.9880,0.2904,0.0371,0.2711,0.0296,/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedbuff_seed1.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedbuff_seed2.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedbuff_seed3.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedbuff_seed4.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedbuff_seed5.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedbuff_seed6.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedbuff_seed7.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedbuff_seed8.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedbuff_seed9.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedbuff_seed10.pkl
AsyncAA,73.5000,9.5075,75.0600,11.1133,1.4499,0.7015,1.4242,0.7395,/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_asyncaa_seed1.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_asyncaa_seed2.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_asyncaa_seed3.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_asyncaa_seed4.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_asyncaa_seed5.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_asyncaa_seed6.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_asyncaa_seed7.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_asyncaa_seed8.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_asyncaa_seed9.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_asyncaa_seed10.pkl
FedAC tuned,83.9500,13.7327,93.8900,1.2880,0.7481,0.9845,0.2198,0.0405,/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedac_tuned_seed1.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedac_tuned_seed2.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedac_tuned_seed3.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedac_tuned_seed4.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedac_tuned_seed5.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedac_tuned_seed6.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedac_tuned_seed7.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedac_tuned_seed8.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedac_tuned_seed9.pkl;/mnt/liuyx_data/shiqk/Stochastic_Anderson_Mixing-main/mnist/experiments/afl_same_setting_fedac_tuned_seed10.pkl
