setting,method,num_seeds,final_acc,final_acc_std,best_acc,best_acc_std,final_loss,final_loss_std,best_loss,best_loss_std,missing_seeds
Base IID,AsyncSAM+RMS,10,90.638,0.2832948993540137,90.75699999999999,0.28670716768159044,0.32931077819824217,0.01247066880348697,0.31773470306396484,0.011086130740254722,
Base IID,AsyncSGD,10,87.834,0.2970925781637765,87.981,0.34711525463453813,0.41814393798828126,0.009430158751419594,0.39878012298583987,0.007918477594482998,
Base IID,FedAsync,10,87.95500000000001,0.26462237244798653,88.08700000000002,0.20789660891895498,0.4188989712524414,0.004162345015639241,0.399849651184082,0.003446166824365688,
Base IID,FedBuff,10,84.845,0.9577917310146324,86.167,0.3384390639391367,0.46009059814453124,0.027797510982740855,0.41656019012451173,0.010346496080571175,
Label-Sorted Non-IID,AsyncSAM+RMS,10,90.549,0.1532612149240651,90.73600000000002,0.18810635289644548,0.33240312561035157,0.006407432601053329,0.3176276974487305,0.0033291493747266312,
Label-Sorted Non-IID,AsyncSGD,10,87.362,0.2476610587072592,87.531,0.24965776575143822,0.43176157470703125,0.0074415176878702294,0.41499524017333983,0.009299411190335184,
Label-Sorted Non-IID,FedAsync,10,87.46400000000001,0.35163048787043555,87.556,0.34946244433415163,0.42376001770019533,0.009265015960994449,0.4103758633422851,0.007373836982872414,
Label-Sorted Non-IID,FedBuff,10,84.843,1.722335913810078,85.876,0.5078228037416199,0.4669409228515625,0.06340115697550013,0.42340034393310544,0.015443496622666569,
Dirichlet Non-IID,AsyncSAM+RMS,10,90.137,0.6088357742445824,90.249,0.6160754823883209,0.3408780889892578,0.014468093392740121,0.33101841461181636,0.01587542325873187,
Dirichlet Non-IID,AsyncSGD,10,87.297,0.48709444669386204,87.42300000000002,0.47606827241478766,0.430681770324707,0.010181567399154169,0.41838692321777343,0.012179388045631302,
Dirichlet Non-IID,FedAsync,10,87.20000000000002,0.44669900380457545,87.38300000000001,0.5026340617188577,0.42953643768310545,0.007844710190847978,0.4176556527709961,0.010809593333579094,
Dirichlet Non-IID,FedBuff,10,84.59799999999998,1.7369789866316736,85.592,0.8355453309067051,0.4728995895385742,0.061017596192787266,0.43295089263916015,0.024947869428526472,
High Delay IID,AsyncSAM+RMS,10,90.487,0.2832684239374378,90.68799999999999,0.2630133076481109,0.3304801661682129,0.00876049106160675,0.3179250299072266,0.009821902880805802,
High Delay IID,AsyncSGD,10,87.915,0.3211308144666291,88.03099999999999,0.2970336681253515,0.4173910946655274,0.008373735422297059,0.3973125918579102,0.005906403604585869,
High Delay IID,FedAsync,10,87.96,0.27386127875258404,88.103,0.2642366363697519,0.4202173266601562,0.011110346636613156,0.4004887838745117,0.006515080870380356,
High Delay IID,FedBuff,10,85.083,0.9707734030143189,86.17,0.26374229846575425,0.4584646606445312,0.035233734391138354,0.41921400115966795,0.00863071214099147,
