setting,num_seeds,fair_final_acc,fair_final_acc_std,fair_best_acc,fair_best_acc_std,tuned_final_acc,tuned_final_acc_std,tuned_best_acc,tuned_best_acc_std,tuned_final_loss,delta_final_acc,delta_best_acc
Base IID,10,74.735,0.5039097141353812,75.195,0.3850259731498641,76.15599999999999,0.47883608886548884,76.336,0.4353435425040784,1.0433167504882814,1.4209999999999923,1.1410000000000053
Label-Sorted Non-IID,10,74.638,0.5229493283292339,74.888,0.43705377243538346,76.084,0.322248351431003,76.28899999999999,0.3617305627120822,1.0381903424072265,1.445999999999998,1.400999999999982
Dirichlet Non-IID,10,74.96799999999999,0.24898995963693268,75.277,0.339530558271268,75.973,0.36606147024782437,76.235,0.37087059737865413,1.0515158154296875,1.0050000000000097,0.9579999999999984
High Delay IID,10,74.813,0.5541128043999695,75.093,0.43811071660026835,75.88199999999999,0.2980536864392101,76.102,0.3623203002869169,1.0465433166503906,1.0689999999999884,1.0090000000000003
